Fuente,Tienda,Nombre,Nombre Limpio,Precio Original,Moneda,Precio UYU,Plataforma,Link,NombreKey,Demanda,Competitividad,ScoreVenta,Nivel,Costo UYU,Precio Venta UYU,Ganancia UYU,Margen sobre venta %
Shopify,GamerLab All,ELDEN RING + EXPANSION Shadow of the Erdtree Edition - CUENTA PRINCIPAL PS4,ELDEN RING + EXPANSION SHADOW OF THE ERDTREE EDITION - PRINCIPAL,30.0 USD,USD,1204.81,PS4,https://juegosdigitalesgamerlab.com/products/elden-ring-shadow-of-the-erdtree-edition-ps4,ELDEN RING + EXPANSION SHADOW OF THE ERDTREE EDITION - PRINCIPAL,81.0,1.0,88.6,TOP,1205.0,1506.0,301.0,20.0
Playwright,TodoDigital PS4,ELDEN RING NIGHTREIGN,ELDEN RING NIGHTREIGN,"7,00 €",EUR,319.94,PS4,https://tododigitalshop.com/elden-ring-nightreign/,ELDEN RING NIGHTREIGN,81.0,1.0,88.6,TOP,320.0,400.0,80.0,20.0
Woocommerce,UYJuegos PS4,ELDEN RING NIGHTREIGN ESTANDAR EDITION PS4,ELDEN RING NIGHTREIGN ESTANDAR EDITION,1.419 UYU,UYU,1419.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/elden-ring-nightreign-estandar-edition-ps4/,ELDEN RING NIGHTREIGN ESTANDAR EDITION,81.0,1.0,88.6,TOP,1419.0,1774.0,355.0,20.0
Shopify,Alpha PS4 Primaria,ELDEN RING SHADOW OF THE ERDTREE PS4,ELDEN RING SHADOW OF THE ERDTREE,10.0 USD,USD,401.6,PS4,https://alphajuegosdigitales.com/products/elden-ring-principal-ps4,ELDEN RING SHADOW OF THE ERDTREE,81.0,1.0,88.6,TOP,402.0,502.0,100.0,19.9
Woocommerce,UYJuegos PS4,Elden Ring: Shadow of the Erdtree PS4,ELDEN RING: SHADOW OF THE ERDTREE,1.677 UYU,UYU,1677.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/elden-ring-shadow-of-the-erdtree-ps4/,ELDEN RING: SHADOW OF THE ERDTREE,81.0,1.0,88.6,TOP,1677.0,2096.0,419.0,20.0
Tiendanube,EstacionPlay PS4,Harry Potter Hogwarts Legacy PS4 Digital...,HARRY POTTER HOGWARTS LEGACY ...,"$69.300,00",ARS,1784.04,PS4,https://estacionplay.com/productos/harry-potter-hogwarts-legacy-ps4-digital-primario/,HARRY POTTER HOGWARTS LEGACY ...,53.7,1.0,72.2,MUY ALTO,1784.0,2230.0,446.0,20.0
Shopify,Alpha PS4 Primaria,HOGWARTS LEGACY PS4,HOGWARTS LEGACY,15.0 USD,USD,602.4,PS4,https://alphajuegosdigitales.com/products/hogwarts-legacy-principal-ps4,HOGWARTS LEGACY,53.7,1.0,72.2,MUY ALTO,602.0,752.0,150.0,19.9
Woocommerce,UYJuegos PS4,HOGWARTS LEGACY + HARRY POTTER: QUIDDITCH CHAMPIONS DELUXE EDITIONS BUNDLE PS4,HOGWARTS LEGACY + HARRY POTTER: QUIDDITCH CHAMPIONS EDITIONS BUNDLE,3.053 UYU,UYU,3053.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/hogwarts-legacy-harry-potter-2/,HOGWARTS LEGACY + HARRY POTTER: QUIDDITCH CHAMPIONS EDITIONS BUNDLE,53.7,1.0,72.2,MUY ALTO,3053.0,3816.0,763.0,20.0
Woocommerce,UYJuegos PS4,HOGWARTS LEGACY DIGITAL DELUXE EDITION PS4,HOGWARTS LEGACY EDITION,602 UYU,UYU,602.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/estrenos/hogwarts-legacy-digital-deluxe-edition-ps4/,HOGWARTS LEGACY EDITION,53.7,1.0,72.2,MUY ALTO,602.0,752.0,150.0,19.9
Woocommerce,UYJuegos PS4,INJUSTICE GODS AMONG US ULTIMATE EDITION PS4,INJUSTICE GODS AMONG US EDITION,344 UYU,UYU,344.0,PS4,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-ps4/injustice-gods-among-us-ultimate-edition-ps4/,INJUSTICE GODS AMONG US EDITION,50.2,1.0,70.1,MUY ALTO,344.0,430.0,86.0,20.0
