Fuente,Tienda,Nombre,Nombre Limpio,Precio Original,Moneda,Precio UYU,Plataforma,Link
Woocommerce,UYJuegos GiftCard Amazon,Amazon Gift Card 25 USD UNITED STATES,AMAZON GIFT CARD 25 USD UNITED STATES,1.204 UYU,UYU,1204.0,Gift Cards,https://uruguayjuegosdigitales.com/tienda/gift-cards/tarjetas-de-regalo-amazon/amazon-gift-card-25-usd-united-states/
Shopify,GamerLab All,Razer Gold Global - RAZOR GOLD GLOBAL 25,RAZER GOLD - RAZOR GOLD 25,30.0 USD,USD,1204.81,Razer Gold,https://juegosdigitalesgamerlab.com/products/razer-gold-global
Shopify,GamerLab All,GIFTCARD PLAY STATION (USA) - 25  USD (USA),GIFTCARD PLAY STATION (USA) - 25 USD (USA),30.0 USD,USD,1204.81,Gift Cards,https://juegosdigitalesgamerlab.com/products/giftcard-usa
Eneba,Eneba - Google Play,Tarjeta Regalo Google Play 30 USD,Tarjeta Regalo Google Play 30 USD,30.39 USD,USD,1220.47,Google Play,https://www.eneba.com/latam/google-play-google-play-gift-card-30-usd-key-united-states
Eneba,Eneba - Xbox,Tarjeta Regalo 30 USD,Tarjeta Regalo 30 USD,33.17 USD,USD,1332.12,Xbox,https://www.eneba.com/latam/xbox-xbox-live-30-usd-xbox-live-key-north-america
Woocommerce,UYJuegos GiftCard iTunes,ITUNES 25 USD,ITUNES 25 USD,1.333 UYU,UYU,1333.0,Gift Cards,https://uruguayjuegosdigitales.com/tienda/gift-cards/itunes/itunes-25-usd/
Eneba,Eneba - Steam Wallet,Tarjeta Regalo Wallet 40 SGD,Tarjeta Regalo Wallet 40 SGD,33.83 USD,USD,1358.62,Steam,https://www.eneba.com/latam/steam-gift-card-steam-gift-card-40-sgd-steam-key-global
Eneba,Eneba - Twitch,Twitch Gift Card 35 USD,Twitch Gift Card 35 USD,33.91 USD,USD,1361.84,Twitch,https://www.eneba.com/latam/twitch-twitch-gift-card-35-usd-key-united-states
Eneba,Eneba - Razer Gold,Razer Gold Gift Card 35 USD,Razer Gold Gift Card 35 USD,34.86 USD,USD,1399.99,Razer Gold,https://www.eneba.com/latam/razer-razer-gold-gift-card-35-usd-key-united-states
Shopify,GamerLab All,GIFTCARD PLAY STATION (USA) - 30 USD (USA),GIFTCARD PLAY STATION (USA) - 30 USD (USA),35.0 USD,USD,1405.61,Gift Cards,https://juegosdigitalesgamerlab.com/products/giftcard-usa
Eneba,Eneba - Google Play,Tarjeta Regalo Google Play 35 USD,Tarjeta Regalo Google Play 35 USD,35.43 USD,USD,1422.88,Google Play,https://www.eneba.com/latam/google-play-google-play-gift-card-35-usd-key-united-states
Zonadigital,ZonaDigital GiftCard Steam,GIFT CARD STEAM,GIFT CARD STEAM,$35.992,CLP,1501.67,Steam,https://zonadigitalmd.comproducto/p2863259
Eneba,Eneba - Twitch,Tarjeta Regalo Twitch 40 USD,Tarjeta Regalo Twitch 40 USD,38.71 USD,USD,1554.61,Twitch,https://www.eneba.com/latam/twitch-twitch-gift-card-40-usd-key-united-states
Shopify,GamerLab All,GIFTCARD PLAY STATION (USA) - 35 USD( USA),GIFTCARD PLAY STATION (USA) - 35 USD( USA),40.0 USD,USD,1606.41,Gift Cards,https://juegosdigitalesgamerlab.com/products/giftcard-usa
Eneba,Eneba - Google Play,Tarjeta Regalo Google Play 40 USD,Tarjeta Regalo Google Play 40 USD,40.58 USD,USD,1629.71,Google Play,https://www.eneba.com/latam/google-play-google-play-gift-card-40-usd-key-united-states
Eneba,Eneba - Razer Gold,Razer Gold Gift Card 40 USD,Razer Gold Gift Card 40 USD,40.97 USD,USD,1645.37,Razer Gold,https://www.eneba.com/latam/razer-razer-gold-gift-card-40-usd-key-united-states
Eneba,Eneba - Xbox,Tarjeta Regalo 40 USD,Tarjeta Regalo 40 USD,42.93 USD,USD,1724.08,Xbox,https://www.eneba.com/latam/xbox-xbox-live-gift-card-40-usd-xbox-live-key-united-states
Zonadigital,ZonaDigital Roblox,GIFT CARD ROBLOX,GIFT CARD ROBLOX,$42.327,CLP,1765.98,Robux,https://zonadigitalmd.comproducto/p2175959
Zonadigital,ZonaDigital Google Play,GIFT CARD GOOGLE PLAY USA,GIFT CARD GOOGLE PLAY USA,$43.191,CLP,1802.02,Google Play,https://zonadigitalmd.comproducto/p2968569
Zonadigital,ZonaDigital Switch USA,GIFT CARD NINTENDO SWITCH,GIFT CARD SWITCH,$43.191,CLP,1802.02,Nintendo,https://zonadigitalmd.comproducto/p2324604
